leagueLevel,league,first,trophySelector,colour,sport,championship,trophy,month,year,number,date,note,t1,t1loc,nth,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
MLB,MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,1961,362,10/1/1961,,New York Yankees,"New York, New York",33,"[-74.0059728, 40.7127753]",Cincinnati Reds,"Cincinnati, Ohio","[-84.5120196, 39.1031182]",Detroit Tigers,"Detroit, Michigan","[-83.0457538, 42.331427]",Los Angeles Dodgers,"Los Angeles, California","[-118.2436849, 34.0522342]"
NFL,NFL,FALSE,trophy-NFL,#f0027f,american_football,NFL Champions,,December,1961,363,12/1/1961,,Green Bay Packers,"Green Bay, Wisconsin",7,"[-88.0132958, 44.5133188]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",,,,,,
CFL,CFL,FALSE,trophy-CFL,#7fc97f,canadian_football,Grey Cup,Grey Cup,December,1961,364,12/1/1961,,Winnipeg Blue Bombers,"Winnipeg, Manitoba",6,"[-97.1383743999999, 49.895136]",Hamilton Tiger-Cats,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Toronto Argonauts,"Toronto, Ontario","[-79.3831843, 43.653226]",Calgary Stampeders,"Calgary, Alberta","[-114.0708459, 51.0486151]"
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1962,365,1/1/1962,"AP, NFF, UPI, FWAA",University of Alabama,"Tuscaloosa, Alabama",4,"[-87.5691734999999, 33.2098407]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,1962,366,1/1/1962,"AP, NFF, UPI, FWAA",Ohio State University,"Columbus, Ohio",5,"[-82.9987941999999, 39.9611755]",,,,,,,,,
NCAA,NCAA D1 - Men,FALSE,trophy-basketball-m,#386cb0,basketball-men,NCAA Division I Men's Basketball Tournament,NCAA National Championship Trophy,March,1962,367,3/1/1962,,University of Cincinnati,"Cincinnati, Ohio",4,"[-84.5120196, 39.1031182]",Ohio State University,"Columbus, Ohio","[-82.9987941999999, 39.9611755]",Wake Forest University,"Winston-Salem, North Carolina","[-80.244216, 36.0998595999999]",University of California-Los Angeles,"Los Angeles, California","[-118.2436849, 34.0522342]"
NBA,NBA,FALSE,trophy-NBA,#ffff99,basketball,NBA Championship,NBA Finals Trophy,April,1962,368,4/1/1962,,Boston Celtics,"Boston, Massachusetts",14,"[-71.0588801, 42.3600825]",Los Angeles Lakers,"Los Angeles, California","[-118.2436849, 34.0522342]",Detroit Pistons,"Detroit, Michigan","[-83.0457538, 42.331427]",Philadelphia 76ers,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]"
NHL,NHL,FALSE,trophy-NHL,#bf5b17,ice_hockey,Stanley Cup,Stanley Cup,April,1962,369,4/1/1962,,Toronto Maple Leafs,"Toronto, Ontario",27,"[-79.3831843, 43.653226]",Chicago Black Hawks,"Chicago, Illinois","[-87.6297982, 41.8781136]",New York Rangers,"New York, New York","[-74.0059728, 40.7127753]",Montreal Canadiens,"Montreal, Quebec","[-73.567256, 45.5016889]"
NCAA,NCAA D1 - Men,FALSE,trophy-baseball-m,#386cb0,baseball-men,College World Series,,June,1962,370,6/1/1962,,University of Michigan,"Ann Arbor, Michigan",10,"[-83.7430378, 42.2808256]",Santa Clara University,"Santa Clara, California","[-121.9552356, 37.3541079]",Florida State University,"Tallahassee, Florida","[-84.2807328999999, 30.4382559]",University of Texas,"Austin, Texas","[-97.7430608, 30.267153]"
MLB,MLB,FALSE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,1962,371,10/1/1962,,New York Yankees,"New York, New York",34,"[-74.0059728, 40.7127753]",San Francisco Giants,"San Francisco, California","[-122.4194155, 37.7749295]",Minnesota Twins,"Minneapolis, Minnesota","[-93.2650108, 44.977753]",Los Angeles Dodgers,"Los Angeles, California","[-118.2436849, 34.0522342]"
NFL,NFL,FALSE,trophy-NFL,#f0027f,american_football,NFL Champions,,December,1962,372,12/1/1962,,Green Bay Packers,"Green Bay, Wisconsin",8,"[-88.0132958, 44.5133188]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]",,,,,,
CFL,CFL,FALSE,trophy-CFL,#7fc97f,canadian_football,Grey Cup,Grey Cup,December,1962,373,12/1/1962,,Winnipeg Blue Bombers,"Winnipeg, Manitoba",7,"[-97.1383743999999, 49.895136]",Hamilton Tiger-Cats,"Hamilton, Ontario","[-79.8711024, 43.2557206]",Calgary Stampeders,"Calgary, Alberta","[-114.0708459, 51.0486151]",Montreal Alouettes,"Montreal, Quebec","[-73.567256, 45.5016889]"
